Day,Interest
2019-07-08,2
2019-07-09,3
2019-07-10,4
2019-07-11,12
2019-07-12,56
2019-07-13,100
2019-07-14,97
2019-07-15,82
2019-07-16,75
2019-07-17,52
2019-07-18,39
2019-07-19,29
2019-07-20,25
2019-07-21,18
2019-07-22,13
2019-07-23,10
2019-07-24,8
2019-07-25,7
2019-07-26,7
2019-07-27,7
2019-07-28,7
2019-07-29,5
2019-07-30,5
2019-07-31,4
